Names	total	elements
		distancia
		verdades
		produçao
		pingos
		exterminio
		alem
		turismo
		domun
		troca
		inflamada
		planalto
		mitos
		receitas
		portalbrasil
		niteroi
		hemoal
		estoque
		francesa
		expectativa
		intensidade
		chicungunia
		aprovaçao
		transmissores
		assessores
		desarrollar
		agilidade
		virais
		conversa
		esgoto
		mutaçao
		viros
		artur
		santos
		sentido
		acertam
		calamidade
		explosao
		procura
		corte
		pide
		waldo
		chikun
		busca
		foradilma
		teoria
		wagner
		transgenicos
		picados
		rscontraaedes
		seca
		nivel
		fruto
		barack
		servidores
		universidade
		saud
		butantan
		chikuncunha
		parque
		viruszika
		complicaçoes
		toneladas
		coluna
		leituristas
		ignorados
		sumare
		terror
		caminho
		ufrn
		ingresso
		moleza
		absurdo
		bilhoes
		silencio
		egypt
		mosquiteiro
		painel
		lama
		tragedia
		tratamentos
		receita
		maneira
		paro
		kassab
		diario
		bras
		funkeiro
		ouro
		encomendara
		zikas
		africa
		barriga
		zera
		marcos
		seleçao
		bolinha
		dinamarca
		parente
		sofrencia
		virologista
		alegria
		cidadao
		marconi
		bragantino
		portas
		lascado
		chikunguia
		variaçao
		ministros
		encorpar
		30551830
		indios
		engravidar
		alckmin
		natureza
